"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+3"
"4",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","+1"
"5",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","-1"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+4"
"7",2,"Puka Nacua",LAR,"WR5","8","3 out of 5 stars","0"
"8",2,"Amon-Ra St. Brown",DET,"WR6","8","3 out of 5 stars","+1"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-6"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+4"
"12",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+9"
"13",3,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-5"
"14",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","-1"
"15",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+2"
"16",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+2"
"17",3,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-5"
"18",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+7"
"19",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+15"
"20",4,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+7"
"21",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-10"
"22",4,"Garrett Wilson",NYJ,"WR13","9","4 out of 5 stars","+16"
"23",4,"Tee Higgins",CIN,"WR14","10","3 out of 5 stars","+7"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-1"
"25",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","+3"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-6"
"27",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","-1"
"28",4,"Bucky Irving",TB,"RB9","9","3 out of 5 stars","-6"
"29",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+12"
"30",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-14"
"31",4,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-12"
"32",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+7"
"33",5,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+9"
"34",5,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-5"
"35",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+9"
"36",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-12"
"37",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-2"
"38",5,"DJ Moore",CHI,"WR19","5","2 out of 5 stars","+9"
"39",5,"Terry McLaurin",WAS,"WR20","12","3 out of 5 stars","+1"
"40",5,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars","-8"
"41",5,"Alvin Kamara",NO,"RB14","11","4 out of 5 stars","-5"
"42",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","-5"
"43",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+5"
"44",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-11"
"45",6,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+7"
"46",6,"James Cook",BUF,"RB16","7","4 out of 5 stars","-15"
"47",6,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+7"
"48",6,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars","-5"
"49",6,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-4"
"50",6,"Rashee Rice",KC,"WR24","10","3 out of 5 stars","+1"
"51",6,"James Conner",ARI,"RB19","8","3 out of 5 stars","-5"
"52",6,"Jaylen Waddle",MIA,"WR25","12","3 out of 5 stars","+23"
"53",6,"Zay Flowers",BAL,"WR26","7","3 out of 5 stars","+6"
"54",6,"Tetairoa McMillan",CAR,"WR27","14","4 out of 5 stars","+13"
"55",6,"Xavier Worthy",KC,"WR28","10","3 out of 5 stars","+1"
"56",6,"George Pickens",DAL,"WR29","10","2 out of 5 stars","+12"
"57",6,"Jameson Williams",DET,"WR30","8","3 out of 5 stars","+5"
"58",6,"Chris Olave",NO,"WR31","11","4 out of 5 stars","+20"
"59",6,"Calvin Ridley",TEN,"WR32","10","4 out of 5 stars","+11"
"60",6,"David Montgomery",DET,"RB20","8","2 out of 5 stars","-3"
"61",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-11"
"62",6,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars","-7"
"63",7,"Travis Hunter",JAC,"WR33","8","4 out of 5 stars","+2"
"64",7,"TreVeyon Henderson",NE,"RB22","14","4 out of 5 stars","-6"
"65",7,"T.J. Hockenson",MIN,"TE4","6","3 out of 5 stars","-2"
"66",7,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars","+10"
"67",7,"Aaron Jones Sr.",MIN,"RB23","6","3 out of 5 stars","-3"
"68",7,"Sam LaPorta",DET,"TE5","8","3 out of 5 stars","-19"
"69",7,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-8"
"70",7,"Isiah Pacheco",KC,"RB24","10","2 out of 5 stars","-1"
"71",7,"Tony Pollard",TEN,"RB25","10","2 out of 5 stars","+2"
"72",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-12"
"73",7,"Stefon Diggs",NE,"WR35","14","3 out of 5 stars","+11"
"74",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-2"
"75",7,"Rome Odunze",CHI,"WR36","5","2 out of 5 stars","+7"
"76",7,"RJ Harvey",DEN,"RB26","12","2 out of 5 stars","-10"
"77",7,"Jakobi Meyers",LV,"WR37","8","4 out of 5 stars","+13"
"78",7,"Chris Godwin",TB,"WR38","9","3 out of 5 stars","-1"
"79",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+2"
"80",7,"Evan Engram",DEN,"TE7","12","3 out of 5 stars","0"
"81",7,"Kaleb Johnson",PIT,"RB27","5","4 out of 5 stars","-10"
"82",7,"Joe Mixon",HOU,"RB28","6","2 out of 5 stars","-29"
"83",7,"David Njoku",CLE,"TE8","9","3 out of 5 stars","0"
"84",7,"Brian Robinson Jr.",WAS,"RB29","12","2 out of 5 stars","-5"
"85",8,"Justin Fields",NYJ,"QB10","9","5 out of 5 stars","+19"
"86",8,"Jaylen Warren",PIT,"RB30","5","4 out of 5 stars","+3"
"87",8,"Dak Prescott",DAL,"QB11","10","2 out of 5 stars","+14"
"88",8,"Jordan Addison",MIN,"WR39","6","2 out of 5 stars","-3"
"89",8,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-15"
"90",8,"Jauan Jennings",SF,"WR40","14","4 out of 5 stars","+8"
"91",8,"Khalil Shakir",BUF,"WR41","7","3 out of 5 stars","+2"
"92",8,"Tyrone Tracy Jr.",NYG,"RB31","14","3 out of 5 stars","-4"
"93",8,"Josh Downs",IND,"WR42","11","4 out of 5 stars","+29"
"94",8,"Brock Purdy",SF,"QB12","14","4 out of 5 stars","+2"
"95",8,"Ricky Pearsall",SF,"WR43","14","4 out of 5 stars","+7"
"96",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+12"
"97",8,"Deebo Samuel Sr.",WAS,"WR44","12","3 out of 5 stars","-10"
"98",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+15"
"99",8,"Michael Pittman Jr.",IND,"WR45","11","4 out of 5 stars","+26"
"100",8,"Jared Goff",DET,"QB15","8","2 out of 5 stars","-5"
"101",8,"Jayden Reed",GB,"WR46","5","2 out of 5 stars","+6"
"102",8,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-16"
"103",8,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars","-9"
"104",8,"Drake Maye",NE,"QB16","14","5 out of 5 stars","+37"
"105",8,"Jake Ferguson",DAL,"TE10","10","2 out of 5 stars","+30"
"106",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+20"
"107",8,"Tucker Kraft",GB,"TE11","5","2 out of 5 stars","+2"
"108",8,"Javonte Williams",DAL,"RB33","10","2 out of 5 stars","-9"
"109",8,"Emeka Egbuka",TB,"WR48","9","3 out of 5 stars","+8"
"110",8,"Jordan Mason",MIN,"RB34","6","3 out of 5 stars","+4"
"111",8,"Zach Charbonnet",SEA,"RB35","8","3 out of 5 stars","+8"
"112",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+52"
"113",9,"Tyjae Spears",TEN,"RB36","10","2 out of 5 stars","+19"
"114",9,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+19"
"115",9,"Darnell Mooney",ATL,"WR49","5","3 out of 5 stars","+13"
"116",9,"Dalton Kincaid",BUF,"TE12","7","3 out of 5 stars","+14"
"117",9,"Rhamondre Stevenson",NE,"RB37","14","4 out of 5 stars","-12"
"118",9,"Cam Skattebo",NYG,"RB38","14","3 out of 5 stars","-27"
"119",9,"Brandon Aiyuk",SF,"WR50","14","4 out of 5 stars","-1"
"120",9,"Tyler Warren",IND,"TE13","11","3 out of 5 stars","-14"
"121",9,"Najee Harris",LAC,"RB39","12","2 out of 5 stars","-6"
"122",9,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+22"
"123",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+6"
"124",9,"J.K. Dobbins",DEN,"RB40","12","2 out of 5 stars","-12"
"125",9,"Matthew Golden",GB,"WR51","5","2 out of 5 stars","-28"
"126",9,"Christian Kirk",HOU,"WR52","6","4 out of 5 stars","+41"
"127",9,"Rachaad White",TB,"RB41","9","3 out of 5 stars","+4"
"128",9,"Rashid Shaheed",NO,"WR53","11","4 out of 5 stars","+23"
"129",9,"Keon Coleman",BUF,"WR54","7","3 out of 5 stars","-8"
"130",9,"Tank Bigsby",JAC,"RB42","8","2 out of 5 stars","+10"
"131",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-20"
"132",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+30"
"133",9,"Quinshon Judkins",CLE,"RB43","9","4 out of 5 stars","-41"
"134",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","+31"
"135",9,"Austin Ekeler",WAS,"RB44","12","2 out of 5 stars","+2"
"136",9,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+66"
"137",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+48"
"138",9,"Matthew Stafford",LAR,"QB23","8","3 out of 5 stars","+36"
"139",9,"Michael Penix Jr.",ATL,"QB24","5","4 out of 5 stars","+37"
"140",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","+28"
"141",10,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+19"
"142",10,"Jerome Ford",CLE,"RB45","9","4 out of 5 stars","+13"
"143",10,"Marquise Brown",KC,"WR58","10","3 out of 5 stars","+23"
"144",10,"Tyler Allgeier",ATL,"RB46","5","4 out of 5 stars","+17"
"145",10,"Ray Davis",BUF,"RB47","7","4 out of 5 stars","+27"
"146",10,"Jonnu Smith",PIT,"TE17","5","3 out of 5 stars","-30"
"147",10,"Marvin Mims Jr.",DEN,"WR59","12","3 out of 5 stars","+6"
"148",10,"Adam Thielen",CAR,"WR60","14","4 out of 5 stars","+31"
"149",10,"Kyle Pitts Sr.",ATL,"TE18","5","3 out of 5 stars","-13"
"150",10,"Romeo Doubs",GB,"WR61","5","2 out of 5 stars","+61"
"151",10,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","+6"
"152",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-49"
"153",10,"Tre' Harris",LAC,"WR62","12","3 out of 5 stars","-6"
"154",10,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-12"
"155",10,"Wan'Dale Robinson",NYG,"WR63","14","2 out of 5 stars","+46"
"156",10,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+47"
"157",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-8"
"158",10,"Jayden Higgins",HOU,"WR64","6","4 out of 5 stars","-13"
"159",10,"Braelon Allen",NYJ,"RB50","9","5 out of 5 stars","+18"
"160",10,"Isaac Guerendo",SF,"RB51","14","3 out of 5 stars","-10"
"161",10,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+66"
"162",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+24"
"163",10,"Rico Dowdle",CAR,"RB52","14","3 out of 5 stars","+53"
"164",10,"Dylan Sampson",CLE,"RB53","9","4 out of 5 stars","+14"
"165",10,"Xavier Legette",CAR,"WR67","14","4 out of 5 stars","+15"
"166",10,"Jaylen Wright",MIA,"RB54","12","4 out of 5 stars","+18"
"167",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-57"
"168",10,"Quentin Johnston",LAC,"WR68","12","3 out of 5 stars","+40"
"169",10,"Jalen McMillan",TB,"WR69","9","3 out of 5 stars","+25"
"170",10,"Sam Darnold",SEA,"QB26","8","4 out of 5 stars","+29"
"171",10,"Cameron Ward",TEN,"QB27","10","2 out of 5 stars","+2"
"172",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-48"
"173",10,"Bhayshul Tuten",JAC,"RB55","8","2 out of 5 stars","-15"
"174",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-51"
"175",10,"Nick Chubb",HOU,"RB56","6","2 out of 5 stars","-27"
"176",10,"Roschon Johnson",CHI,"RB57","5","3 out of 5 stars","+46"
